기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국마약퇴치운동본부,기타공공기관,식품의약품안전처,173.0,72.0,38229.0,90222.0,서울특별시,0.4161849710982659,2.3600408067174135
한국무역보험공사,준정부기관(기금관리형),산업통상부,833.0,41.0,100036.0,256814.0,서울특별시,0.04921968787515006,2.567215802311168
한국문학번역원,기타공공기관,문화체육관광부,58.0,2.0,49668.0,158240.0,서울특별시,0.034482758620689655,3.1859547394700813
한국문화관광연구원,기타공공기관,문화체육관광부,140.0,5.0,77194.0,165031.0,서울특별시,0.03571428571428571,2.1378734098505063
한국문화예술교육진흥원,기타공공기관,문화체육관광부,148.0,0.0,58178.0,123499.0,서울특별시,0.0,2.1227783698305203
한국문화예술위원회,기타공공기관,문화체육관광부,262.0,8.0,64652.0,174582.0,전라남도,0.030534351145038167,2.7003340963929965
한국문화정보원,기타공공기관,문화체육관광부,65.0,4.0,58462.0,122320.0,서울특별시,0.06153846153846154,2.0922992713215423
한국문화진흥주식회사,기타공공기관,문화체육관광부,135.0,14.0,52861.0,152963.0,경기도,0.1037037037037037,2.8936834339115793
한국발명진흥회,기타공공기관,지식재산처,197.0,8.0,68799.0,184744.0,서울특별시,0.04060913705583756,2.685271588249829
한국방송광고진흥공사,공기업(준시장형),방송미디어통신위원회,314.0,10.0,87655.0,114621.0,서울특별시,0.03184713375796178,1.3076378985796588
한국방송통신전파진흥원,준정부기관(위탁집행형),과학기술정보통신부,543.5,16.0,73182.0,157117.0,전라남도,0.029438822447102116,2.1469350386707116
한국법무보호복지공단,기타공공기관,법무부,389.0,26.0,57728.0,157951.0,경상북도,0.06683804627249357,2.7361245842572064
한국법제연구원,기타공공기관,국무조정실,135.0,2.0,63260.0,146455.0,세종특별자치시,0.014814814814814815,2.315128042997155
한국벤처투자,기타공공기관,중소벤처기업부,163.0,10.0,96668.0,198521.0,서울특별시,0.06134969325153374,2.0536371912111555
한국보건복지인재원,기타공공기관,보건복지부,274.0,5.0,55439.0,160712.0,충청북도,0.01824817518248175,2.8988978877685385
한국보건사회연구원,기타공공기관,국무조정실,210.0,5.0,82975.0,164005.0,세종특별자치시,0.023809523809523808,1.9765592045796927
한국보건산업진흥원,기타공공기관,보건복지부,424.0,0.0,71669.0,202652.0,충청북도,0.0,2.8276102638518745
한국보건의료연구원,기타공공기관,보건복지부,165.0,8.0,61574.0,225395.0,서울특별시,0.048484848484848485,3.6605547796147726
한국보건의료인국가시험원,기타공공기관,보건복지부,149.0,3.0,68096.0,202855.0,서울특별시,0.020134228187919462,2.978956179511278
한국보육진흥원,기타공공기관,교육부,367.0,22.0,45478.0,149374.0,서울특별시,0.05994550408719346,3.2845331808786664
한국보훈복지의료공단,준정부기관(위탁집행형),국가보훈부,7547.0,856.0,68649.0,156837.0,강원도,0.11342255200742017,2.284621771620854
한국부동산원,공기업(준시장형),국토교통부,1183.0,57.0,91891.0,179225.0,대구광역시,0.04818258664412511,1.9504086363191173
한국사학진흥재단,기타공공기관,교육부,131.0,18.0,55122.0,223117.0,대구광역시,0.13740458015267176,4.047694205580349
한국사회보장정보원,준정부기관(위탁집행형),보건복지부,751.0,19.0,61862.0,179903.0,서울특별시,0.02529960053262317,2.9081342342633603
한국사회복지협의회,기타공공기관,보건복지부,91.0,3.0,54619.0,,서울특별시,0.03296703296703297,
한국사회적기업진흥원,기타공공기관,고용노동부,125.0,11.0,59117.0,167005.0,경기도,0.088,2.8249911193057833
한국산림복지진흥원,준정부기관(위탁집행형),산림청,463.0,40.0,57504.0,182270.0,대전광역시,0.08639308855291576,3.1696925431274345
한국산업기술기획평가원,준정부기관(위탁집행형),산업통상부,403.5,8.0,91637.0,193057.0,대구광역시,0.01982651796778191,2.1067581871951284
한국산업기술시험원,기타공공기관,산업통상부,906.0,9.0,95985.0,225395.0,경상남도,0.009933774834437087,2.3482314945043496
한국산업기술진흥원,준정부기관(위탁집행형),산업통상부,427.0,19.0,77931.0,209908.0,서울특별시,0.04449648711943794,2.693510926332268
한국산업단지공단,준정부기관(위탁집행형),산업통상부,628.0,18.0,75368.0,144440.0,대구광역시,0.028662420382165606,1.9164632204649188
